,logFC,AveExpr,t,P.Value,adj.P.Val,B
ALKBH1,-0.0946352170382934,7.90957499660954,-2.41709277490722,0.0165625505836421,0.145661200138328,-3.44394699184966
ZNF304,-0.121379629546843,7.34185395196332,-2.41695059126954,0.0165688289125326,0.145661200138328,-3.44426912504689
ZNF281,-0.109554599383042,9.22675971012134,-2.41644504036635,0.0165911693217547,0.145661200138328,-3.44541436387347
PER2,-0.123949027687959,8.01933643835461,-2.41637171035948,0.0165944120041065,0.145661200138328,-3.44558046172539
LAMC3,-0.166935998242881,9.66327652642913,-2.41619624575006,0.016602173396248,0.145661200138328,-3.44597788272663
DYRK2,-0.127968147683752,8.61558188757101,-2.41610297911519,0.0166063002018255,0.145661200138328,-3.44618911724578
LGALS13,-0.270092688499604,10.9006373885776,-2.41594728509189,0.0166131912791718,0.145661200138328,-3.44654172308243
MGAT3,0.222954009281445,8.32939119552654,2.41524687594882,0.0166442229635466,0.145845999185958,-3.4481277006663
HIST1H2BM,0.210055023777715,8.15564205527641,2.4147077261621,0.0166681449633132,0.145968315515542,-3.44934823483448
LRRC8A,0.138458452795804,9.53610475595086,2.41318293075164,0.0167359646788408,0.146474682502806,-3.45279869980584
AURKC,-0.120146135519003,6.74245665700761,-2.41267367069678,0.0167586698243097,0.146585833788634,-3.45395064985762
SWAP70,0.13069310201983,10.4579671501431,2.41225152496877,0.0167775116665701,0.146615342164655,-3.45490537342325
EIF4G3,0.123250188412927,8.46909439872725,2.41183843882876,0.0167959672861285,0.146615342164655,-3.45583945583864
ECM1,-0.207907971512807,9.48263237056103,-2.41176889846572,0.0167990759350186,0.146615342164655,-3.45599668774636
PRDM7,0.111254335010139,6.6961929757063,2.41170188336893,0.016802072178995,0.146615342164655,-3.45614820595338
NCLN,0.0990037805462922,8.4879718142126,2.41133512486034,0.0168184783208037,0.146671146356009,-3.45697736082717
LCP2,-0.154032466235625,8.27215669980208,-2.40984215212652,0.0168854095375922,0.147071933086709,-3.4603513982121
PRKAR2A,0.119335687037299,8.05210075392154,2.40972539377935,0.0168906538307803,0.147071933086709,-3.46061518292235
ZFPM2,-0.197177529245484,7.63667653985426,-2.40963865344884,0.0168945507736627,0.147071933086709,-3.46081114205762
WDR61,-0.134721176458799,8.87115320805185,-2.40855356507255,0.0169433672742742,0.147409307562584,-3.46326195558266
SEPT10,-0.128303203324164,9.22216897775434,-2.4077505006809,0.0169795762193571,0.147591075998809,-3.46507511293263
SLC9A6,-0.102521564571923,8.18692004754688,-2.40737684081465,0.0169964472852775,0.147591075998809,-3.46591856772406
TPR,0.118075145662353,9.73983494409105,2.40717079859243,0.0170057566086908,0.147591075998809,-3.46638360998361
CTSK,-0.204317345000119,8.40359517100553,-2.40715563206511,0.0170064420352355,0.147591075998809,-3.46641783972244
PTRH2,0.0938608425963912,8.02269203032954,2.40689652897045,0.0170181555524621,0.147591075998809,-3.46700258506504
TMEM184A,0.163368481910355,8.19464632536493,2.40675177594678,0.0170247026440507,0.147591075998809,-3.46732923874806
PDK2,-0.142045354861589,8.03594376351923,-2.40631887375122,0.0170442958398026,0.147637682971356,-3.46830602761083
GPIHBP1,0.188321469255414,7.21357944347499,2.40618778810293,0.0170502327204651,0.147637682971356,-3.46860177315222
DSCR3,-0.119413213352466,9.18170850578591,-2.40531568792209,0.0170897767818946,0.147892687319278,-3.47056895408335
FGFR4,0.164461154908008,6.7364501165778,2.40388356761365,0.0171548900300281,0.148232251006033,-3.47379790780895
RCSD1,-0.104578248640497,7.87810100154647,-2.40349210672643,0.017172726441798,0.148232251006033,-3.47468020685965
LCOR,-0.170402192933322,9.88731890385413,-2.40339422223788,0.0171771889838667,0.148232251006033,-3.47490080392923
MKI67IP,0.130521776662984,9.10449031693981,2.40333442822209,0.0171799154901845,0.148232251006033,-3.475035554368
AGPAT3,-0.10357574652785,7.9284395195316,-2.4032943829881,0.0171817416992341,0.148232251006033,-3.475125797637
PTDSS2,-0.129121441813815,8.58117474260771,-2.40311946830568,0.0171897204599857,0.148232251006033,-3.4755199571243
STX1A,0.132285016440967,7.79829619863824,2.40282227706015,0.0172032843952928,0.148261952750256,-3.476189597472
CDKAL1,-0.13921809655273,8.53231649308058,-2.40211728208339,0.0172354985134791,0.14845225674367,-3.47777780206551
