"Name","K","Kin","Kout","TypeI","TypeII"
"NFKBIA",3,0,3,1,0
"NFKBIZ",1,0,1,1,0
"NGFRAP1",6,0,6,2,0
"NHLH1",1,0,1,1,0
"NIPBL",1,0,1,1,0
"NIT1",1,0,1,1,0
"NKIRAS1",1,0,1,1,0
"NLRC4",1,0,1,2,0
"NOC4L",3,0,3,1,0
"NOL4",1,0,1,2,0
"NONO",3,0,3,2,0
"NOS1AP",2,0,2,2,0
"NOTCH2",3,0,3,2,0
"NOTCH3",7,0,7,2,0
"NOTCH4",3,0,3,2,0
"NPFFR2",1,0,1,1,0
"NPPB",1,0,1,1,0
"NPPC",1,0,1,1,0
"NPR1",1,0,1,2,0
"NPY1R",1,0,1,2,0
"NPY5R",1,0,1,1,0
"NR1H2",7,0,7,2,0
"NR2E3",2,0,2,2,0
"NR2F2",3,0,3,2,0
"NR2F6",3,0,3,2,0
"NR4A1",3,0,3,2,0
"NRF1",1,0,1,2,0
"NRP2",3,0,3,2,0
"NRXN1",11,0,11,2,0
"NRXN2",4,0,4,2,0
"NSMAF",2,0,2,1,0
"NT5E",1,0,1,1,0
"NTF3",1,0,1,2,0
"NTRK2",2,0,2,2,0
"NTRK3",5,0,5,1,0
"NTSR2",1,0,1,1,0
"NUDT5",1,0,1,1,0
"NUP153",1,0,1,1,0
"NXF1",8,0,8,2,0
"OBSCN",2,0,2,2,0
"OCRL",1,0,1,2,0
"OLFML3",1,0,1,1,0
"OPN1LW",2,0,2,2,0
"OPRK1",1,0,1,2,0
"OPRL1",1,0,1,2,0
"OTX1",1,0,1,1,0
"OXT",1,0,1,2,0
"P2RY12",1,0,1,1,0
"P2RY2",4,0,4,2,0
"PA2G4",2,0,2,1,0
"PACSIN2",1,0,1,1,0
"PAN2",1,0,1,1,0
"PARP1",13,0,13,2,0
"PAX2",4,0,4,1,0
"PCBP1",3,0,3,2,0
"PCDH8",1,0,1,1,0
"PCSK6",2,0,2,2,0
"PCSK7",3,0,3,2,0
"PDCD2",1,0,1,2,0
"PDCD5",1,0,1,1,0
"PDE3B",1,0,1,1,0
"PDE4A",1,0,1,2,0
"PDE5A",1,0,1,1,0
"PDGFRA",8,0,8,2,0
"PDHX",1,0,1,1,0
"PDIA4",1,0,1,1,0
"PDK1",1,0,1,1,0
"PDLIM4",1,0,1,1,0
"PDZD3",1,0,1,2,0
"PDZK1",4,0,4,2,0
"PEX10",1,0,1,1,0
"PEX12",1,0,1,1,0
"PEX14",1,0,1,1,0
"PEX7",1,0,1,2,0
"PFKM",3,0,3,2,0
"PFKP",1,0,1,1,0
"PGD",1,0,1,1,0
"PHB",4,0,4,1,0
"PHF10",1,0,1,1,0
"PHLDA1",2,0,2,2,0
"PHOX2A",1,0,1,1,0
"PHPT1",1,0,1,1,0
"PIK3C3",1,0,1,1,0
"PIP4K2B",1,0,1,1,0
"PIP4K2C",3,0,3,2,0
"PITPNM2",1,0,1,2,0
"PLEKHA4",1,0,1,1,0
"PLOD3",1,0,1,1,0
"PLXNA2",1,0,1,2,0
"PLXNA3",2,0,2,1,0
"PLXNB1",3,0,3,2,0
"PLXNB3",1,0,1,2,0
"PLXND1",1,0,1,2,0
"PMAIP1",3,0,3,1,0
"PMEPA1",1,0,1,1,0
"PODXL",1,0,1,1,0
"POLB",1,0,1,1,0
"POLD1",2,0,2,1,0
"POLH",1,0,1,1,0
"POLR2D",1,0,1,1,0
"POLR2G",2,0,2,1,0
"POLR2K",1,0,1,2,0
"POP7",1,0,1,1,0
"POR",1,0,1,1,0
"POU2F2",2,0,2,2,0
"POU3F4",1,0,1,2,0
"PPA1",2,0,2,1,0
"PPAP2C",1,0,1,1,0
"PPFIA2",2,0,2,2,0
"PPHLN1",2,0,2,1,0
"PPM1B",2,0,2,1,0
"PPP1R10",1,0,1,1,0
"PPP1R16A",5,0,5,2,0
"PPP1R1B",3,0,3,2,0
"PPP1R2",4,0,4,1,0
"PPP1R7",1,0,1,1,0
"PPP2R2A",2,0,2,2,0
"PPP5C",3,0,3,2,0
"PPP6C",1,0,1,2,0
"PRDX1",1,0,1,2,0
"PRDX3",2,0,2,2,0
"PRG2",2,0,2,1,0
"PRIM1",1,0,1,2,0
"PRKD3",1,0,1,1,0
"PRKX",1,0,1,1,0
"PRLR",4,0,4,2,0
"PRNP",7,0,7,2,0
"PROS1",1,0,1,1,0
"PRPH2",1,0,1,2,0
"PRR14",1,0,1,1,0
"PSG3",1,0,1,1,0
"PSG9",1,0,1,1,0
"PSMA5",1,0,1,2,0
"PSMB4",1,0,1,1,0
"PSMB7",1,0,1,2,0
"PSMC6",4,0,4,2,0
"PSPC1",1,0,1,2,0
"PSRC1",1,0,1,1,0
"PTAFR",2,0,2,2,0
"PTCH2",1,0,1,2,0
"PTGDR",1,0,1,2,0
"PTGER1",1,0,1,2,0
"PTGER2",1,0,1,1,0
"PTGIR",1,0,1,2,0
"PTGS2",1,0,1,2,0
"PTH1R",2,0,2,1,0
"PTPN5",1,0,1,1,0
"PTPN7",1,0,1,1,0
"PTPRD",4,0,4,2,0
"PTPRE",4,0,4,1,0
"PTPRG",1,0,1,1,0
"PTPRH",5,0,5,2,0
"PTPRJ",3,0,3,2,0
"PTPRM",7,0,7,2,0
"PTPRN",1,0,1,1,0
"PTPRN2",1,0,1,2,0
"PTPRO",2,0,2,2,0
"PTPRU",2,0,2,2,0
"PTX3",1,0,1,2,0
"PUM2",1,0,1,1,0
"PURB",1,0,1,2,0
"PVR",3,0,3,2,0
"PVRL4",1,0,1,2,0
"QRSL1",1,0,1,1,0
"RAB11FIP2",2,0,2,2,0
"RAB22A",1,0,1,2,0
"RAB5A",12,0,12,2,0
"RAB6B",1,0,1,1,0
"RAB9A",1,0,1,2,0
"RABGGTA",1,0,1,1,0
"RAD18",1,0,1,2,0
"RAE1",2,0,2,2,0
"RAMP1",2,0,2,2,0
"RAMP2",1,0,1,1,0
"RANBP1",1,0,1,1,0
"RAPGEF4",1,0,1,1,0
"RASA3",2,0,2,1,0
"RASGRF1",1,0,1,1,0
"RASIP1",1,0,1,1,0
"RBBP7",7,0,7,2,0
"RBM41",3,0,3,1,0
"RBM42",1,0,1,1,0
"RBM8A",2,0,2,2,0
"RCN2",1,0,1,1,0
"REN",3,0,3,2,0
"RER1",1,0,1,1,0
"RERE",2,0,2,2,0
"REXO1",1,0,1,2,0
"RFC3",1,0,1,1,0
"RFWD2",1,0,1,2,0
"RFXAP",1,0,1,2,0
"RGR",1,0,1,2,0
"RGS12",2,0,2,1,0
"RGS3",4,0,4,2,0
