,logFC,AveExpr,t,P.Value,adj.P.Val,B
HUS1,0.0633598983371382,8.04815829576412,0.839645534458305,0.402820838337915,0.546947820283957,-6.36345942558124
GJD4,0.0634965805747951,7.05806016608974,0.839577320320903,0.402858941647548,0.546947820283957,-6.36351600653501
NPM2,0.0549911488029489,6.63308513108775,0.839531558697773,0.402884504573371,0.546947820283957,-6.36355396146306
TNFRSF1A,-0.0557842737479266,9.8256737354484,-0.838800748185681,0.403292876444433,0.547451490112795,-6.36415982257254
KLF8,0.0662052013087644,6.93321429928388,0.838064868721091,0.403704334470683,0.547908846669545,-6.36476935931248
EHD3,-0.0788278988168702,8.98255514642988,-0.83806440554641,0.403704593529298,0.547908846669545,-6.36476974279855
ETS1,0.063753815706864,8.60649468514866,0.83794395192754,0.403771967964879,0.547917501812605,-6.36486946541599
COMMD2,-0.0533247654041169,9.2015086500861,-0.837919283828204,0.403785766641915,0.547917501812605,-6.36488988619732
TRIM13,0.0427398927551144,7.99513780921878,0.837721515724514,0.403896403181438,0.547978419475265,-6.36505358140532
VN1R1,0.0574159956354103,6.62583788630825,0.837705320673786,0.403905463921465,0.547978419475265,-6.36506698456656
DMPK,0.0459891468603226,7.73328129178461,0.837627421428026,0.403949048391449,0.547986806294734,-6.36513145106569
RBM10,-0.037923207656835,8.81277155733387,-0.837486802801363,0.404027731446552,0.548007422881743,-6.36524780678134
ZNF655,-0.0430378273673941,8.84080017743462,-0.837466568815599,0.404039054123854,0.548007422881743,-6.36526454792446
STARD8,0.0762153684451832,9.03987534351511,0.837390706525994,0.404081507394608,0.548014270558031,-6.36532731111307
SURF4,-0.0430943289418568,11.4914381841735,-0.837034947174691,0.404280629837219,0.548206403356871,-6.36562156675376
EDN2,0.0543385283492039,7.07713043515403,0.837003894852052,0.404298012986895,0.548206403356871,-6.36564724488634
SIN3B,-0.0567629712563402,9.66626384289862,-0.836791308442994,0.404417031430837,0.54831508397111,-6.36582301393212
TXNRD2,-0.0475306994686626,8.60436937740179,-0.83672704462057,0.404453014297712,0.54831508397111,-6.36587613936496
HTR4,-0.0412558407971551,6.13848726928254,-0.836601298382628,0.404523428265907,0.548359802694652,-6.3659800792451
CDC42SE2,0.063427792066248,8.50103157799797,0.836311615765977,0.404685669750408,0.548528980249166,-6.36621946765169
ECH1,-0.0611646572520446,11.8675683275435,-0.836168029143654,0.404766102394169,0.548586610630684,-6.36633809464512
NACA,-0.0417981197462218,11.0534676850737,-0.836102032766029,0.404803074706732,0.548586610630684,-6.36639261213772
ZNF22,0.0502261742217502,8.55536470098017,0.835917430341376,0.404906503041077,0.548676024422384,-6.36654508370836
ALDH8A1,0.0551058934057673,6.1247062440733,0.835313785822376,0.405244822376249,0.549043179099231,-6.36704342906171
RIMS3,-0.0701428092574936,7.26636916099478,-0.835300265769021,0.405252401800497,0.549043179099231,-6.36705458661783
NEURL2,0.0616176343983996,7.30251220125445,0.835088805251029,0.405370959022077,0.549126512050054,-6.36722907325795
RRBP1,-0.0618389566617505,9.83293257346018,-0.835056859775245,0.405388871362595,0.549126512050054,-6.36725542927145
DNAH8,-0.0604483112554437,5.81118925998185,-0.834875456628649,0.405490596099715,0.549202325920358,-6.36740507363474
GOLPH3L,-0.040968330015092,9.01867905926748,-0.834823362208254,0.405519811740252,0.549202325920358,-6.36744804179489
MOCS3,0.0642693955300313,7.15540409747076,0.834712799865598,0.405581821635256,0.549235536443122,-6.36753922628607
S100A7,0.0788258157173756,6.65814380155878,0.8345124627971,0.40569419711899,0.549336939185797,-6.36770442062188
VOPP1,0.0722233623101447,8.02781020584082,0.834134957609345,0.40590600307098,0.549572946215038,-6.36801559813146
VPS13C,-0.061489223080919,8.21620608414819,-0.833998701396343,0.405982468451831,0.549625683356845,-6.36812787995587
APOA4,0.0548062191968466,6.16807864588642,0.83381894837419,0.406083357057341,0.549711472257886,-6.36827597756744
ZNF57,0.0639705549099663,7.8314563497514,0.833717537204052,0.40614028201988,0.549737737608395,-6.36835951580442
MRPS18B,-0.0428580382708859,8.80645305219542,-0.833550852461871,0.406233857371564,0.549813602249495,-6.36849680184121
UBE2J1,0.0395837757539379,9.86631524913468,0.833107810277003,0.406482640737583,0.550099498378563,-6.36886157145375
