"Name","K","Kin","Kout","TypeI","TypeII"
"LPL",6,3,3,0,1
"SLC2A1",4,2,2,0,1
"THBS1",21,10,11,0,1
"TRAF6",22,6,16,0,1
"KPNB1",15,8,7,0,1
"RYR1",7,6,1,0,1
"CTSG",5,3,2,0,1
"PRTN3",4,3,1,0,1
"LRP1",15,8,7,0,1
"SPTAN1",17,5,12,0,1
"CAPN2",4,1,3,0,1
"RAB1A",9,7,2,0,1
"TRAF1",16,7,9,0,1
"DLG4",22,8,14,0,1
"EPB41",12,4,8,0,1
"LIN7B",4,2,2,0,1
"PRKD2",12,10,2,0,1
"CASP8",29,8,21,0,1
"ROCK1",8,4,4,0,1
"PLA2G4A",8,4,4,0,1
"IKBKB",18,13,5,0,1
"PRKCG",17,5,12,0,1
"RAC1",17,4,13,0,1
"SLC8A1",3,1,2,0,1
"RUNX1",6,4,2,0,1
"ITCH",5,2,3,0,1
"TRIM24",12,8,4,0,1
"RING1",6,5,1,0,1
"MMP1",6,4,2,0,1
"MMP3",4,3,1,0,1
"CCR1",9,6,3,0,1
"VCAM1",3,1,2,0,1
"CCL22",3,2,1,0,1
"CCR5",8,5,3,0,1
"VCAN",10,4,6,0,1
"CCL21",5,3,2,0,1
"CTSD",9,5,4,0,1
"SRGN",7,4,3,0,1
"IL8",3,2,1,0,1
"MMP14",9,1,8,0,1
"GADD45G",17,9,8,0,1
"MED8",19,11,8,0,1
"MCM10",15,7,8,0,1
"RBX1",8,6,2,0,1
"GTF2E2",16,9,7,0,1
"CDK9",17,7,10,0,1
"CCNT2",3,2,1,0,1
"JAK1",31,12,19,0,1
"CXCL13",5,4,1,0,1
"CD4",20,9,11,0,1
"CXCR4",12,4,8,0,1
"PTK2",27,14,13,0,1
"VHL",5,2,3,0,1
"HDAC3",28,20,8,0,1
"ITGB2",23,5,18,0,1
"ITGA3",6,2,4,0,1
"PIK3R1",54,27,27,0,1
"P4HB",5,3,2,0,1
"CD2",10,8,2,0,1
"FYN",67,31,36,0,1
"CD244",2,1,1,0,1
"CD247",13,2,11,0,1
"PTPRC",25,14,11,0,1
"TRAF2",65,12,53,0,1
"PIK3CG",9,7,2,0,1
"COL1A1",20,8,12,0,1
"COL1A2",16,5,11,0,1
"LYN",37,17,20,0,1
"CD3E",8,4,4,0,1
"NCL",9,6,3,0,1
"HSPA8",31,12,19,0,1
"JAK3",8,4,4,0,1
"CD44",21,8,13,0,1
"LLGL1",2,1,1,0,1
"YES1",10,7,3,0,1
"ITGAV",8,4,4,0,1
"UBQLN1",8,5,3,0,1
"CD48",5,2,3,0,1
"CD9",7,3,4,0,1
"SDCBP",13,8,5,0,1
"CD81",8,3,5,0,1
"HBEGF",6,2,4,0,1
"SAFB",14,9,5,0,1
"CDH1",9,4,5,0,1
"CDH5",8,4,4,0,1
"CDK5RAP2",9,6,3,0,1
"HNF1A",8,4,4,0,1
"SOX10",13,5,8,0,1
"SOX8",10,5,5,0,1
"SRF",20,11,9,0,1
"CEBPE",9,5,4,0,1
"SPI1",13,8,5,0,1
"SPTBN4",7,3,4,0,1
"CGN",2,1,1,0,1
"GPS2",6,3,3,0,1
"PPP2R5A",10,6,4,0,1
"CHMP2A",3,1,2,0,1
"GZMB",5,1,4,0,1
"GPRASP1",8,2,6,0,1
"CHRNA4",3,1,2,0,1
"TANK",5,3,2,0,1
"CIB1",6,3,3,0,1
"DISC1",4,2,2,0,1
"ILK",10,8,2,0,1
"SLC9A3R1",13,6,7,0,1
"TYROBP",5,3,2,0,1
"LSM1",11,1,10,0,1
"HGS",23,10,13,0,1
"RABAC1",15,8,7,0,1
"DUSP10",4,1,3,0,1
"CNKSR1",5,3,2,0,1
"PPL",4,1,3,0,1
"RGS19",12,6,6,0,1
"COL2A1",10,6,4,0,1
"COL3A1",7,4,3,0,1
"ITGB3BP",5,3,2,0,1
"XRN2",9,4,5,0,1
"PTGES3",7,6,1,0,1
"GPS1",9,4,5,0,1
"POLDIP2",4,1,3,0,1
"MAPK11",3,2,1,0,1
"WWP1",7,4,3,0,1
"CREB3",3,1,2,0,1
"KAT2A",14,11,3,0,1
"NCOA6",13,6,7,0,1
"TP53",44,9,35,0,1
"UCN",2,1,1,0,1
"IRS1",20,14,6,0,1
"CRKL",26,10,16,0,1
"PXN",40,11,29,0,1
"RPA2",14,7,7,0,1
