,logFC,AveExpr,t,P.Value,adj.P.Val,B
COQ10A,-0.0649992581199283,7.28780539301769,-2.72583528313887,0.00674969701449509,0.0249911071416143,-3.23772500194198
TMPRSS3,-0.181643191820111,6.79425880933946,-2.72381710788973,0.00679016620559203,0.0251345945119072,-3.24306485097642
MVB12B,0.110238621760343,8.03123105703381,2.72362116798842,0.00679410690593688,0.0251428290676639,-3.24358308295254
GATAD2B,-0.0969726894004861,9.47277392762402,-2.72323745991587,0.00680182993889879,0.0251608257654517,-3.24459783061219
GGA3,0.081178906953209,8.72325565099855,2.72320892080599,0.00680240467251068,0.0251608257654517,-3.24467329917995
SOCS6,0.113613973665016,8.7273299489833,2.72256398227889,0.00681540443265254,0.025201483667939,-3.24637856717565
TUBA1B,-0.0966229934466796,10.8682145366398,-2.72249297529241,0.00681683706068135,0.025201483667939,-3.24656629160404
AKAP8L,0.0838660990800832,9.3626806797358,2.72214015429655,0.006823959564266,0.0252214509525886,-3.24749899121983
ADAM12,0.164243441898266,12.9407188783972,2.72201627406829,0.00682646196449627,0.0252243365048764,-3.2478264472587
E2F1,0.0649934671113845,7.60548567421465,2.72104660992938,0.00684607796589102,0.0252904408165076,-3.25038909491009
GAS2L3,-0.15241796773093,7.96292701017502,-2.72094549813257,0.00684812635199178,0.0252916307494408,-3.25065626489587
SAT1,0.125080324531273,13.3065299095052,2.72051792001092,0.00685679461405783,0.0253172625732261,-3.25178595924654
ALDH1L1,0.0962914659541614,6.41519330965,2.7201747810592,0.00686375820735327,0.0253338471831345,-3.25269243598111
TNK1,0.110723821047271,6.69019418606082,2.72012620023655,0.00686474461245267,0.0253338471831345,-3.25282076403183
SH3GLB1,-0.0776881543366006,9.68758891248552,-2.71993293871871,0.00686866994107898,0.0253361988007401,-3.25333124981569
CLDN15,0.0743441750870684,7.92173468771914,2.71990703725616,0.00686919617877507,0.0253361988007401,-3.25339966394722
EVPL,0.104264356689445,7.77958645781617,2.71983943696616,0.0068705697792192,0.0253361988007401,-3.2535782152196
TREML2,0.249231920322298,10.337722438639,2.7196083253242,0.00687526771230881,0.0253471432443474,-3.25418861364081
CDC123,-0.111134199056497,9.60529936101798,-2.71940436513119,0.00687941613088638,0.0253560567883312,-3.25472726004526
ZNF524,0.0855958442279814,8.30966912334458,2.71912926065748,0.00688501515632835,0.0253592495925716,-3.25545373293658
ARF1,-0.0699903926717464,11.5831618766139,-2.71904437081832,0.00688674369499912,0.0253592495925716,-3.25567788873222
DNPEP,0.0583783307623396,9.06645876790366,2.71903075227617,0.00688702103409086,0.0253592495925716,-3.25571384853955
TAF1B,0.121390892021795,8.94792289538949,2.71902167320455,0.00688720593330436,0.0253592495925716,-3.25573782176363
NT5C1A,0.0971478274606579,6.52880164925014,2.71858630995745,0.0068960775532254,0.0253855357367601,-3.25688730545356
SBNO2,0.10623617036129,8.1165452256517,2.71765756275166,0.00691503758378518,0.0254489363577083,-3.25933887569458
CRLF3,0.0784323787362862,8.81022793267379,2.71655842824279,0.00693753677269151,0.025525326784707,-3.26223917397484
NR2F6,0.123741040886037,9.85463032126875,2.71635063771136,0.00694179764322692,0.0255345913308857,-3.26278734698534
PDILT,0.146463643183933,5.62099627798559,2.71607480085351,0.00694745749238061,0.0255489959138726,-3.2635149713076
PRCP,-0.128646746917005,10.5282050387141,-2.71466977136461,0.00697635171907836,0.0256402315567782,-3.26722017237466
NTN5,0.0850131674912813,6.81454604138779,2.71461687990084,0.00697744153863443,0.0256402315567782,-3.26735961654961
URGCP,-0.0892665166147371,8.06080672818399,-2.71457909066526,0.00697822027342997,0.0256402315567782,-3.26745924329841
PCYT1B,-0.0950914977289656,6.61237891538256,-2.71452829401917,0.00697926717960763,0.0256402315567782,-3.26759316042137
ADRB2,0.123333570049423,8.11806958759617,2.71421237410738,0.00698578139157455,0.0256577295482473,-3.26842597823574
FAM103A1,-0.0838139176617343,8.47588521603128,-2.7141002336849,0.00698809502573229,0.0256597945418556,-3.26872157687638
PTPN9,-0.0816480988430062,8.04585589981953,-2.71352905308024,0.00699989011501042,0.0256966650150382,-3.27022700973642
SEC23B,-0.0745642547025689,9.67288553017171,-2.71334340925703,0.00700372759353683,0.0257043118669609,-3.2707162368339
NPY1R,-0.167167565188204,6.19745077008627,-2.71254126559484,0.00702033068168641,0.0257587940940114,-3.27282975761184
CAPN12,0.102269110568627,6.95044666183973,2.71210160101231,0.00702944608927033,0.0257857823369804,-3.27398795009364
ZNF552,-0.1101705335952,7.95675422336067,-2.71192742215719,0.0070330602282993,0.0257925820788018,-3.27444673346646
SNX6,-0.0852000153822896,10.3131557607924,-2.71137565448537,0.00704452024599375,0.0258246706940623,-3.27589989158965
ARPP19,0.115105996753488,9.10138867712657,2.71133643855375,0.00704533538762998,0.0258246706940623,-3.2760031615184
CFH,-0.207114988987879,7.62498276344256,-2.71090782852775,0.00705425001560144,0.0258508796844864,-3.27713175572595
GGCX,0.104958128498508,8.78658191345751,2.70991510687829,0.00707493664207349,0.0259202042368139,-3.27974508448207
CTSF,-0.176925593700277,8.86323743314576,-2.70902407016892,0.00709355090323101,0.0259819035708094,-3.28208994883213
HINT3,-0.0942843201045189,8.37555174753037,-2.70822500647823,0.00711028134734964,0.0260366738365458,-3.28419214818635
SEPSECS,-0.128991306067469,7.25030186183775,-2.70779232016762,0.00711935558651216,0.0260633879805072,-3.28533022390448
PDE2A,0.100290819460296,6.86932109156074,2.70678419729591,0.00714053832746531,0.0261344059544577,-3.28798117003055
FDXR,0.0768892531273426,7.82044927255683,2.70585687873221,0.00716007336657398,0.0261993593640548,-3.29041880017187
N4BP2L1,-0.0941070129856936,7.17025831656131,-2.70504563528149,0.00717720265244473,0.0262554796656599,-3.29255064970626
SLC5A6,-0.105276564818224,11.40511542841,-2.70495307203198,0.00717915945829533,0.0262560821825973,-3.29279385583342
SEMA6C,0.0812886176135041,7.11094766032281,2.7043756344247,0.00719137747000223,0.0262942029730478,-3.29431086955949
RHOT2,0.112471520629581,8.6990904095809,2.70327953867807,0.00721462135609993,0.0263691691174393,-3.2971896221002
WDR73,0.0786220790858465,8.17117132321384,2.70323910435334,0.00721548010318845,0.0263691691174393,-3.29729579622138
FYTTD1,-0.10436237268206,9.23560531974457,-2.70276075632455,0.00722564628849087,0.0263997366016658,-3.29855174690072
DLG5,-0.127352344252156,10.8354828060836,-2.7021476901469,0.00723869447614963,0.0264408159486583,-3.3001611025628
PTPLA,-0.0852529082979467,6.54929068051177,-2.70187328920109,0.0072445415638472,0.0264555778793433,-3.30088131733735
MYH10,-0.100853718987564,10.3784032067821,-2.70124800651904,0.00725788134159217,0.0264958588189051,-3.30252222301546
MCL1,-0.0974147541116075,10.627895628317,-2.70111525368683,0.00726071633764575,0.0264958588189051,-3.3028705544704
ZNF197,-0.122539182961179,6.82293422215016,-2.70110209427675,0.00726099741709808,0.0264958588189051,-3.30290508268262
PLEKHO1,-0.0968430705868544,7.813647012562,-2.70074402225721,0.00726864944988934,0.0265171770643249,-3.30384454527717
TNNT3,0.178010179464803,9.4911232062525,2.70055420881543,0.00727270872814656,0.026525381024664,-3.30434250464888
SEC61A1,-0.0829844315063628,10.850943166593,-2.69986090776248,0.00728755276878797,0.0265729058276537,-3.30616103619142
STMN3,0.0911386551729017,8.45219499488245,2.69957498434443,0.00729368253002348,0.0265886396485131,-3.3069108843459
CKS1B,-0.108626078719807,9.47779209139115,-2.69944004173801,0.0072965771071203,0.0265925749244825,-3.30726475153182
COX6A1,-0.0733520994517356,11.8306920812058,-2.69930491200557,0.00729947673560507,0.0265965266484332,-3.30761909246201
OSBPL3,-0.11029546684721,7.43616080235097,-2.69865038260952,0.00731353640179353,0.0266411292448227,-3.30933517730145
NECAB1,-0.131676037951608,6.23713950528965,-2.69724330470265,0.00734384390158569,0.0267448811837266,-3.31302299078371
CAPZB,-0.0865070824551122,10.3173732595989,-2.69673509568057,0.00735481816881734,0.0267781911012284,-3.31435450433811
HRK,0.153210759549482,7.99243791095744,2.69618669701366,0.00736667686646533,0.0268147037939338,-3.31579104581522
RPLP2,-0.100241369825392,12.0210512517223,-2.69509266930843,0.00739038585486496,0.026894322692406,-3.31865603818254
ZNF528,-0.12404503138849,6.85720837007289,-2.69451338235008,0.00740296756949091,0.0269334188876611,-3.32017259905122
PVRL2,0.0922573961283852,8.49009170589058,2.69394549683229,0.00741532038228786,0.0269716630886046,-3.32165900825909
ASTN2,-0.0723910662304554,6.5392857597311,-2.69341774888182,0.00742681675602248,0.0270067739618976,-3.32304009070358
LRRC61,0.128120500817444,8.10042538076231,2.69305706138811,0.00743468314744732,0.0270286706683004,-3.32398383766002
IGIP,0.107952879139423,7.96501031965239,2.69251716905847,0.00744647192306584,0.0270648127374938,-3.32539625199926
SHISA5,-0.0770748788107181,10.7028418074686,-2.69149874628521,0.00746875546496098,0.0271330268999617,-3.32805981356821
UPK3B,0.0715549124911607,7.35857753683599,2.69146319747091,0.00746953437262873,0.0271330268999617,-3.32815276976703
FECH,-0.0954785536233089,8.18017335238195,-2.69137096562942,0.00747155559949879,0.0271330268999617,-3.32839394030157
SPAG7,-0.0931524589674719,8.82438740716092,-2.69132113417133,0.00747264784255992,0.0271330268999617,-3.32852423777294
DTYMK,0.0854746251878229,7.71865183790193,2.69093930907554,0.00748102174426757,0.0271567020751398,-3.32952254339453
C21orf2,0.111245932829885,7.74620433126462,2.69074368211891,0.00748531536199237,0.0271655574358559,-3.33003396978393
MTERFD1,-0.0955242837735524,7.99750391589455,-2.6900184814423,0.00750125142953822,0.0272116109418614,-3.33192954701804
PLSCR4,-0.121250461567845,8.97874991434069,-2.68993536036056,0.00750307994110677,0.0272116109418614,-3.33214678311994
TMCO4,0.120129786320005,8.44122183055849,2.68991276315193,0.00750357710771414,0.0272116109418614,-3.33220583958379
