"","Name","K","Kin","Kout","TypeI","TypeII","logFC"
"263","PCSK6",1,0,1,1,0,0.170712523811672
"264","GABRR1",1,0,1,1,0,0.170070555998403
"265","ERBB3",12,0,12,2,0,0.169164628468979
"266","CLEC5A",1,0,1,1,0,0.168972288071561
"267","TRAF2",65,12,53,0,1,0.168693157699431
"268","NOTCH3",7,0,7,2,0,0.168356480596408
"269","BTK",38,3,35,0,1,0.168306093944167
"270","ITGAM",6,0,6,2,0,0.168147313811728
"271","LIMS1",1,0,1,2,0,0.16804326791037
"272","ADRA2C",3,0,3,2,0,0.167843053740746
"273","NPY1R",1,0,1,2,0,0.167167565188204
"274","SAV1",1,0,1,1,0,0.166834147627373
"275","CD63",2,0,2,2,0,0.16666375647007
"276","MS4A7",1,0,1,2,0,0.166652872586742
"277","TNIP2",5,3,2,0,1,0.166355340994453
"278","HMGB1",28,23,5,0,1,0.164988853430959
"279","SKIL",16,0,16,2,0,0.164651931873259
"280","SOX5",3,2,1,0,1,0.16458072610213
"281","SSTR1",2,0,2,2,0,0.163898062400132
"282","TES",5,2,3,0,1,0.163677634165662
"283","MAPK11",3,2,1,0,1,0.163413967425151
"284","LIN7B",4,2,2,0,1,0.163176721256749
"285","VASP",14,12,2,0,1,0.162805712519873
"286","AHNAK",1,0,1,1,0,0.1626386696362
"287","EPHB4",1,0,1,2,0,0.162315515350549
"288","PLA2G4A",8,4,4,0,1,0.16108517332069
"289","PARVG",1,0,1,1,0,0.160833869001698
"290","CDKN1A",31,22,9,0,1,0.160526425700269
"291","WNT1",3,2,1,0,1,0.160471857120857
"292","IPO8",1,0,1,1,0,0.160158370016466
"293","MTA1",2,0,2,1,0,0.160028704113456
"294","PHPT1",1,0,1,1,0,0.158367009698756
"295","CAT",1,0,1,1,0,0.158049145941918
"296","TACC1",1,0,1,1,0,0.15791804803607
"297","SERPING1",4,1,3,0,1,0.157359385060555
"298","SMAD6",7,3,4,0,1,0.157274147505071
"299","CLOCK",1,0,1,2,0,0.156996217238747
"300","TNFRSF25",4,0,4,1,0,0.156958176866384
"301","TFCP2",1,0,1,1,0,0.156743538452815
"302","NOTCH4",4,0,4,2,0,0.156514974820251
"303","EDNRB",5,0,5,2,0,0.15651459192585
"304","FGFR4",9,0,9,2,0,0.15606919610494
"305","GAST",2,0,2,2,0,0.155879751589925
"306","PAK2",8,5,3,0,1,0.155874930971283
"307","TYRO3",4,0,4,2,0,0.155331702374248
"308","MYO5A",5,3,2,0,1,0.154806734647232
"309","PCM1",4,1,3,0,1,0.154678790468239
"310","SLC22A4",1,0,1,1,0,0.154561133926256
"311","MRPL44",8,5,3,0,1,0.153822754995994
"312","F3",2,0,2,1,0,0.153472705772902
"313","CTNNB1",56,36,20,0,1,0.153422975605354
